,Image Name,Acc,F1,Jaccard,Recall,Precision
7,ISIC_0000172.jpg,0.97430419921875,0.9817464446756851,0.9641473280817543,0.9977966773895034,0.9662043951354811
8,ISIC_0030321.jpg,0.972442626953125,0.9855501504192536,0.9715119488918684,0.9960055631023998,0.9753119655412681
9,ISIC_0010240.jpg,0.87750244140625,0.9195929568718575,0.8511541670529341,0.9660360682645567,0.8774105999503068
10,ISIC_0025982.jpg,0.917816162109375,0.9448189660471693,0.8954093521826938,0.9868590017977913,0.9062143783656302
11,ISIC_0025157.jpg,0.9821929931640625,0.9909643451666602,0.9820905142646675,0.9988449772117125,0.9832070920460307
12,ISIC_0027969.jpg,0.9731597900390625,0.9860147088054064,0.9724151990841657,0.9957765251882899,0.9764424288233812
13,ISIC_0031309.jpg,0.99072265625,0.9951932199101892,0.9904324290300246,0.9990793358519318,0.9913372184596
14,ISIC_0027629.jpg,0.9464111328125,0.9697335309731463,0.9412453575133001,0.9891176315465621,0.9510945820302595
15,ISIC_0000261.jpg,0.9868621826171875,0.9927634288403835,0.9856308411214953,0.9983940223822565,0.987195988299206
16,ISIC_0030785.jpg,0.975677490234375,0.9873526191345192,0.9750211552323942,0.9967160592711254,0.9781634674338537
17,ISIC_0030915.jpg,0.9930877685546875,0.9965286558311685,0.9930813287514318,0.9998154811329458,0.9932633701480226
18,ISIC_0000527.jpg,0.9462127685546875,0.967873059851806,0.9377461455592251,0.9925973006318466,0.9443505789033738
19,ISIC_0028350.jpg,0.996063232421875,0.9980264667635584,0.9960607078511009,0.99955565770321,0.9965019476055907
20,ISIC_0032240.jpg,0.988739013671875,0.9939135024576914,0.987900647594065,0.9959176252809732,0.9919174293803911
21,ISIC_0029315.jpg,0.95941162109375,0.978054978054978,0.9570524412296564,0.9949477147221243,0.9617262918796139
22,ISIC_0010131.jpg,0.945526123046875,0.9557203810279817,0.9151958571869729,0.983358431812961,0.9295934370852937
23,ISIC_0028104.jpg,0.9040985107421875,0.9416829818229056,0.889792912377913,0.9875063246798739,0.8999237412878855
24,ISIC_0024672.jpg,0.9474029541015625,0.968399629633025,0.9387352481160245,0.9912170404429014,0.9466090759194208
25,ISIC_0000450.jpg,0.90875244140625,0.942481195775542,0.8912193258508723,0.9725078407241257,0.9142531910129134
26,ISIC_0000382.jpg,0.8144683837890625,0.8330564441942525,0.713878953313253,0.9543238227059675,0.739133612708313
27,ISIC_0027041.jpg,0.849090576171875,0.856174742597871,0.7485188293030234,0.9564609935991162,0.7749229999736752
28,ISIC_0010288.jpg,0.827789306640625,0.845295536791315,0.7320449203447376,0.946843139663432,0.7634198276715857
29,ISIC_0026927.jpg,0.9836883544921875,0.9916528067339753,0.9834438111758147,0.997815770451617,0.9855655062161449
30,ISIC_0026865.jpg,0.99896240234375,0.999480638509127,0.9989618162109345,0.9998777487431043,0.9990838435815608
31,ISIC_0010652.jpg,0.9104461669921875,0.896946497866587,0.8131486787647246,0.9760767378759506,0.8296842515592515
32,ISIC_0028926.jpg,0.9447784423828125,0.9688717626719192,0.939622956289623,0.993666196189132,0.9452845705845824
33,ISIC_0000550.jpg,0.967010498046875,0.9761736830504739,0.9534563303265807,0.9921370967741936,0.9607158351409978
34,ISIC_0011193.jpg,0.916351318359375,0.9509949403750916,0.9065684971196782,0.9887540197408777,0.9160137078303398
35,ISIC_0011126.jpg,0.9282684326171875,0.9374808825289588,0.8823190727714222,0.9859296763545834,0.8935706317817665
